#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2005-11-16T04:35:09
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml18178	

#RESOURCE=1239
#Name: I/239
#Title:	The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title:	The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	HIP	(I6)	Identifier (HIP number) (H1)        (link)	[ucd=ID_MAIN]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=POS_EQ_RA_MAIN]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=POS_EQ_DEC_MAIN]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=PHOT_JHN_V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=PHOT_JHN_B-V]

recno;HIP;RAhms;DEdms;Vmag;B-V
   21801; 21819;04 41 19.74;+28 36 54.2; 5.73; 0.018
   21805; 21823;04 41 24.09;+48 18 03.6; 5.66; 0.002
   21829; 21847;04 41 50.08;+38 16 49.5; 5.97; 0.593
   21843; 21861;04 42 03.45;-37 08 41.2; 5.04; 0.391
   21863; 21881;04 42 14.70;+22 57 25.1; 4.27;-0.112
   21896; 21914;04 42 46.46;-50 28 53.1; 5.30; 0.977
   21910; 21928;04 42 54.30;+43 21 55.0; 5.30; 0.028
   21931; 21949;04 43 03.95;-70 55 52.0; 5.53;-0.114
   21940; 21958;04 43 09.31;-30 45 55.4; 5.66; 1.391
   21954; 21972;04 43 21.60;+49 58 25.8; 5.86; 0.013
   21968; 21986;04 43 34.73;-08 47 39.3; 5.98; 0.645
   22006; 22024;04 44 05.32;-08 30 12.9; 5.78;-0.076
   22010; 22028;04 44 07.95;-18 39 59.6; 5.53; 0.025
   22022; 22040;04 44 21.12;-59 43 58.2; 5.28; 0.206
   22026; 22044;04 44 25.77;+11 08 46.2; 5.39; 0.251
   22068; 22086;04 45 04.15;-21 17 00.0; 5.72; 1.476
   22091; 22109;04 45 30.14;-03 15 16.6; 4.01;-0.148
   22139; 22157;04 46 01.70;+11 42 20.2; 5.35; 0.197
   22158; 22176;04 46 16.78;+18 44 05.5; 5.99; 1.221
   22202; 22220;04 46 44.47;+40 18 45.6; 5.99; 0.934
   22245; 22263;04 47 36.21;-16 56 05.5; 5.49; 0.632
   22270; 22287;04 48 00.22;+56 45 27.1; 5.29; 0.246
   22308; 22325;04 48 32.53;-16 19 46.5; 5.76; 0.537
   22319; 22336;04 48 36.20;-05 40 24.4; 5.77; 0.631
   22344; 22361;04 48 50.26;+75 56 29.6; 5.96; 0.283
   22376; 22393;04 49 12.84;+31 26 15.4; 5.57; 1.132
   22390; 22407;04 49 19.06;+32 35 17.8; 5.84; 0.250
   22432; 22449;04 49 50.14;+06 57 40.5; 3.19; 0.484
   22436; 22453;04 49 54.67;+37 29 17.5; 4.89; 1.447
   22462; 22479;04 50 11.59;-16 13 02.2; 5.03; 0.992
   22492; 22509;04 50 36.72;+08 54 00.9; 4.35; 0.010
   22514; 22531;04 50 55.39;-53 27 42.2; 5.58; 0.341
   22528; 22545;04 51 09.36;+48 44 26.7; 5.64; 1.013
   22532; 22549;04 51 12.37;+05 36 18.4; 3.68;-0.157
   22548; 22565;04 51 22.41;+18 50 23.8; 5.08; 0.214
   22556; 22573;04 51 28.20;-34 54 22.4; 5.82; 0.105
   22609; 22626;04 52 05.17;+63 30 20.3; 5.47; 1.559
   22650; 22667;04 52 31.96;+14 15 02.8; 4.71; 1.773
   22662; 22678;04 52 38.00;+36 42 11.5; 4.79; 1.414
   22680; 22697;04 52 47.09;+27 53 51.3; 5.97; 0.368
   22682; 22699;04 52 47.77;+42 35 11.9; 5.68; 0.115
   22684; 22701;04 52 53.68;-05 27 09.9; 4.36; 0.257
   22713; 22730;04 53 22.76;+02 30 29.8; 5.33; 1.632
   22766; 22783;04 54 03.01;+66 20 33.6; 4.26;-0.008
   22780; 22797;04 54 15.10;+02 26 26.4; 3.71;-0.179
   22816; 22833;04 54 46.91;+11 25 33.5; 5.18; 0.121
   22817; 22834;04 54 47.79;+07 46 45.0; 5.33; 1.214
   22823; 22840;04 54 50.71;+00 28 01.8; 5.98;-0.116
   22828; 22845;04 54 53.70;+10 09 04.1; 4.64; 0.085
   22837; 22854;04 55 03.14;+55 15 32.9; 5.52; 0.015
   22844; 22860;04 55 06.82;-16 44 26.3; 5.71; 0.953
   22854; 22871;04 55 11.14;-74 56 13.2; 5.47; 1.518
   22864; 22881;04 55 18.64;-16 25 04.3; 5.71; 0.874
   22896; 22913;04 55 50.16;+15 02 25.1; 5.79;-0.085
   22919; 22936;04 56 07.08;+52 52 11.0; 5.75; 0.105
   22940; 22957;04 56 22.32;+13 30 52.5; 4.06; 1.158
   22941; 22958;04 56 24.19;-05 10 16.9; 5.50;-0.123
   22998; 23015;04 56 59.62;+33 09 58.1; 2.69; 1.490
   23024; 23040;04 57 17.22;+53 45 07.5; 4.43;-0.017
   23026; 23043;04 57 22.35;+17 09 13.3; 5.51; 1.304
   23051; 23068;04 57 48.65;+23 56 54.9; 5.79; 1.109
   23071; 23088;04 58 09.38;+25 03 01.9; 5.79; 0.018
   23106; 23123;04 58 32.90;+01 42 50.5; 4.47; 1.369
   23131; 23148;04 58 50.99;-82 28 13.9; 5.84; 0.932
   23149; 23166;04 59 01.44;-16 22 34.8; 5.65; 0.447
   23162; 23179;04 59 15.38;+37 53 25.7; 4.93; 0.037
   23204; 23221;04 59 50.44;-10 15 46.8; 5.39; 0.797
   23214; 23231;04 59 55.71;-12 32 13.9; 4.78; 0.267
   23244; 23261;05 00 18.35;+39 23 40.9; 5.95; 0.415
   23248; 23265;05 00 20.72;+81 11 38.5; 5.09; 1.304
   23345; 23362;05 01 25.56;-20 03 06.8; 4.91;-0.047
   23347; 23364;05 01 26.34;-07 10 26.3; 4.80;-0.164
   23391; 23408;05 01 50.35;+00 43 19.8; 5.91; 1.267
   23399; 23416;05 01 58.13;+43 49 23.9; 3.03; 0.537
   23413; 23430;05 02 09.77;-26 16 29.4; 5.01; 1.056
   23429; 23446;05 02 22.81;-31 46 17.5; 5.92; 1.170
   23436; 23453;05 02 28.68;+41 04 33.2; 3.69; 1.154
   23450; 23467;05 02 43.00;-71 18 51.6; 5.30; 0.996
   23457; 23474;05 02 44.94;-22 47 42.3; 5.74; 1.188
   23458; 23475;05 02 45.37;-04 12 36.5; 5.86; 1.212
   23466; 23482;05 02 48.73;-49 09 05.3; 5.37; 0.421
   23480; 23497;05 03 05.70;+21 35 24.2; 4.62; 0.155
   23505; 23522;05 03 25.10;+60 26 32.2; 4.03; 0.921
   23537; 23554;05 03 53.26;-24 23 17.0; 5.61; 0.094
   23578; 23595;05 04 24.31;-35 28 58.3; 4.55; 1.177
   23590; 23607;05 04 34.14;+15 24 15.1; 4.65;-0.064
   23632; 23649;05 04 57.95;-49 34 40.2; 5.05; 1.484
   23651; 23668;05 05 16.19;-26 09 08.1; 5.71; 1.166
   23668; 23685;05 05 27.65;-22 22 15.1; 3.19; 1.460
   23676; 23693;05 05 30.69;-57 28 22.8; 4.71; 0.526
   23717; 23734;05 06 08.46;+58 58 20.6; 5.22;-0.080
   23747; 23766;05 06 29.66;+61 10 11.8; 6.00; 1.380
   23750; 23767;05 06 30.87;+41 14 04.7; 3.18;-0.148
   23766; 23783;05 06 40.66;+51 35 53.3; 4.98; 0.343
   23777; 23794;05 06 45.65;-04 39 18.6; 5.12;-0.059
   23814; 23831;05 07 24.88;-12 29 27.6; 5.97; 0.606
   23818; 23835;05 07 26.68;+18 38 42.0; 4.91; 0.657
   23823; 23840;05 07 34.01;-63 23 58.5; 5.19; 1.646
   23854; 23871;05 07 48.43;+20 25 06.4; 5.28; 0.118
   23858; 23875;05 07 51.03;-05 05 10.5; 2.78; 0.161
   23862; 23879;05 07 52.87;+08 29 54.9; 5.33; 0.338
   23866; 23883;05 07 55.43;+21 42 17.4; 5.84; 0.168
   23883; 23900;05 08 06.62;+24 15 54.7; 5.50; 0.030
   23899; 23916;05 08 20.19;-08 39 55.0; 5.80;-0.059
   23924; 23941;05 08 43.67;-04 27 22.5; 5.11; 0.455
   23955; 23972;05 09 08.78;-08 45 14.7; 4.25;-0.187
   23966; 23983;05 09 19.60;+09 49 46.6; 5.43; 0.249
   23993; 24010;05 09 41.96;+15 35 50.2; 4.81; 0.313
   24002; 24019;05 09 45.06;+28 01 50.2; 5.93; 0.311
   24092; 24109;05 10 42.87;+46 57 44.8; 5.67; 0.452
   24145; 24162;05 11 19.13;-02 29 26.8; 5.89; 0.462
   24152; 24169;05 11 22.85;-11 50 57.2; 5.60; 1.350
   24180; 24197;05 11 41.56;+16 02 44.4; 5.18; 1.525
   24186; 24203;05 11 45.35;+01 02 13.4; 5.88; 0.662
   24227; 24244;05 12 17.89;-11 52 08.9; 4.45;-0.099
   24237; 24254;05 12 22.45;+73 56 48.3; 5.44;-0.108
   24277; 24294;05 12 48.12;-06 03 25.6; 5.90; 0.960
   24289; 24305;05 12 55.87;-16 12 19.5; 3.29;-0.110
   24310; 24327;05 13 13.89;-12 56 28.6; 4.36;-0.094
   24314; 24331;05 13 17.48;+02 51 40.5; 4.46; 1.166
   24323; 24340;05 13 25.73;+38 29 04.8; 4.82; 0.189
   24355; 24372;05 13 45.43;-67 11 07.3; 4.81; 1.274
   24409; 24426;05 14 28.84;-35 58 37.3; 5.75; 1.009
   24419; 24436;05 14 32.27;-08 12 05.9; 0.18;-0.030
   24433; 24450;05 14 44.05;+05 09 22.1; 5.50; 1.369
   24487; 24505;05 15 24.37;-26 56 36.4; 5.06;-0.067
   24489; 24504;05 15 24.41;+32 41 15.3; 5.01; 0.222
   24538; 24555;05 16 04.14;+11 20 28.9; 5.52;-0.012
   24558; 24575;05 16 18.15;+34 18 44.0; 5.99; 0.199
   24591; 24608;05 16 41.30;+45 59 56.5; 0.08; 0.795
   24642; 24659;05 17 29.02;-34 53 39.8; 4.81; 0.987
   24657; 24674;05 17 36.40;-06 50 39.8; 3.59;-0.115
   24662; 24679;05 17 40.25;-13 31 10.9; 5.48; 0.932
   24710; 24727;05 18 10.55;+33 22 19.2; 4.54; 1.252
   24715; 24732;05 18 13.25;+73 16 05.3; 5.81;-0.023
   24721; 24738;05 18 15.68;+42 47 31.9; 5.55; 1.492
   24769; 24786;05 18 50.24;-18 07 48.7; 5.96; 0.572
   24782; 24799;05 19 00.02;+33 44 54.5; 5.38;-0.167
   24796; 24813;05 19 08.08;+40 06 02.4; 4.69; 0.630
   24800; 24817;05 19 11.23;+02 35 45.4; 5.34; 0.412
   24805; 24822;05 19 16.59;+22 05 48.1; 4.96; 0.937
   24812; 24829;05 19 22.11;-50 36 23.5; 5.44; 0.517
   24814; 24831;05 19 23.69;-27 22 07.9; 5.98;-0.022
   24828; 24845;05 19 34.53;-13 10 36.4; 4.29;-0.235
   24856; 24873;05 19 59.03;-12 18 56.2; 5.29;-0.104
   24862; 24879;05 20 00.92;+33 57 29.0; 5.05; 0.287
   24885; 24902;05 20 14.68;+41 05 10.8; 5.46; 0.122
   24896; 24914;05 20 22.61;+62 39 13.4; 5.64; 1.728
   24909; 24927;05 20 26.91;-21 14 23.1; 4.70;-0.048
   24983; 25001;05 21 12.69;+29 34 11.6; 5.66; 0.060
   25010; 25028;05 21 31.84;-00 24 59.4; 5.68;-0.125
   25023; 25041;05 21 43.56;+08 25 42.8; 5.78;-0.114
   25026; 25044;05 21 45.75;-00 22 56.9; 4.72;-0.168
   25027; 25045;05 21 46.27;-24 46 22.6; 5.06; 0.662
   25030; 25048;05 21 48.41;+41 48 16.8; 5.22;-0.129
   25092; 25110;05 22 33.78;+79 13 50.7; 5.08; 0.506
   25124; 25142;05 22 50.00;+03 32 40.0; 4.99;-0.096
   25125; 25143;05 22 50.32;+41 01 45.3; 5.54; 0.127
   25169; 25187;05 23 18.51;-08 24 56.1; 5.99;-0.037
   25176; 25194;05 23 24.00;-39 40 42.4; 5.73; 1.626
   25179; 25197;05 23 27.83;+57 32 40.3; 5.24;-0.011
   25184; 25202;05 23 30.16;-13 55 38.5; 5.25;-0.219
   25206; 25223;05 23 42.31;-00 09 35.3; 5.69;-0.208
   25230; 25247;05 23 56.84;-07 48 28.6; 4.13; 0.943
   25261; 25278;05 24 25.31;+17 23 00.8; 5.00; 0.544
   25263; 25280;05 24 28.47;-16 58 32.7; 5.64;-0.001
   25264; 25281;05 24 28.62;-02 23 49.7; 3.35;-0.240
   25265; 25282;05 24 28.91;-00 53 30.0; 5.07; 0.961
   25274; 25291;05 24 38.53;+31 08 35.4; 5.94; 0.034
   25275; 25292;05 24 39.14;+37 23 07.4; 5.02; 1.445
   25285; 25302;05 24 44.83;+01 50 47.2; 4.89;-0.200
   25312; 25329;05 25 01.74;-10 19 43.8; 5.60; 1.543
   25319; 25336;05 25 07.87;+06 20 59.0; 1.64;-0.224
   25380; 25397;05 25 59.82;-19 41 43.3; 5.78; 0.441
   25410; 25428;05 26 17.50;+28 36 28.3; 1.65;-0.130
   25411; 25429;05 26 19.28;-58 54 45.4; 5.14; 0.986
   25453; 25471;05 26 48.80;+34 23 30.6; 5.92; 0.138
   25455; 25473;05 26 50.23;+03 05 44.4; 4.59;-0.199
   25470; 25488;05 27 05.32;-40 56 37.6; 5.86; 0.239
   25474; 25492;05 27 08.27;+30 12 31.0; 5.69; 0.175
   25481; 25499;05 27 10.09;+17 57 44.2; 5.40;-0.090
   25521; 25539;05 27 38.08;+21 56 13.1; 4.88;-0.140
   25523; 25541;05 27 38.89;+34 28 33.6; 5.08; 1.400
   25537; 25555;05 27 45.61;+15 52 26.8; 5.52; 0.015
   25565; 25583;05 28 01.60;+17 14 21.3; 5.77; 1.634
   25588; 25606;05 28 14.73;-20 45 33.2; 2.81; 0.807
   25590; 25608;05 28 15.33;-37 13 51.4; 5.56; 0.026
   25677; 25695;05 29 16.49;+25 09 01.1; 5.47;-0.042
   25690; 25708;05 29 23.70;-03 26 46.9; 5.80; 1.149
   25719; 25737;05 29 43.98;-01 05 31.8; 4.71; 1.592
   25733; 25751;05 29 54.77;+01 47 21.3; 5.77;-0.192
   25750; 25768;05 30 09.46;-47 04 38.4; 5.46; 0.615
   25751; 25769;05 30 10.21;+63 04 02.0; 5.43; 1.704
   25772; 25790;05 30 26.17;+15 21 38.0; 5.93; 0.103
   25795; 25813;05 30 47.05;+05 56 53.6; 4.20;-0.143
   25798; 25816;05 30 48.65;+41 27 43.5; 5.99; 1.112
   25835; 25853;05 31 07.62;-20 51 48.8; 5.53; 0.012
   25841; 25859;05 31 12.74;-35 28 13.6; 3.86; 1.130
   25843; 25861;05 31 14.53;+03 17 31.7; 5.46;-0.176
   25869; 25887;05 31 35.99;-45 55 31.5; 5.86; 1.349
   25900; 25918;05 31 52.66;-76 20 30.0; 5.18; 1.130
   25905; 25923;05 31 55.86;-07 18 05.5; 4.62;-0.261
   25912; 25930;05 32 00.40;-00 17 56.7; 2.25;-0.175
   25927; 25945;05 32 12.75;+18 35 39.3; 4.32; 2.060
   25930; 25950;05 32 14.14;+17 03 29.4; 5.50;-0.004
   25962; 25980;05 32 41.35;-01 35 30.6; 5.34;-0.188
   25966; 25984;05 32 43.67;+32 11 31.3; 4.71; 0.281
   25967; 25985;05 32 43.81;-17 49 20.3; 2.58; 0.211
   25975; 25993;05 32 51.38;-38 30 48.0; 5.45; 1.224
   25983; 26001;05 32 59.52;-64 13 39.1; 5.34; 1.039
   26001; 26019;05 33 07.32;-35 08 21.5; 5.75; 1.085
   26045; 26063;05 33 31.45;-01 09 21.9; 5.36;-0.175
   26046; 26064;05 33 31.63;+18 32 24.8; 5.67;-0.022
   26051; 26069;05 33 37.52;-62 29 23.5; 3.76; 0.640
   26075; 26093;05 33 54.29;+14 18 20.1; 5.60;-0.118
   26091; 26108;05 34 04.06;-01 28 12.7; 5.92; 1.535
   26108; 26126;05 34 16.79;+03 46 01.0; 5.32; 0.051
   26151; 26169;05 34 44.78;-73 44 28.9; 5.79; 1.717
   26158; 26176;05 34 49.24;+09 29 22.5; 4.39;-0.157
   26179; 26197;05 35 01.01;-06 00 33.4; 5.67;-0.228
   26181; 26199;05 35 02.68;-06 00 07.3; 4.78;-0.248
   26189; 26207;05 35 08.28;+09 56 03.0; 3.39;-0.160
   26197; 26215;05 35 13.24;+10 14 24.4; 5.60; 0.149
   26201; 26219;05 35 15.45;-33 04 48.0; 5.76; 1.120
   26202; 26220;05 35 15.82;-05 23 14.3; 4.98;
   26203; 26221;05 35 16.47;-05 23 22.9; 5.13; 0.020
   26217; 26235;05 35 22.90;-05 24 57.8; 4.98;-0.097
   26219; 26237;05 35 23.16;-04 50 18.0; 4.58;-0.183
   26223; 26241;05 35 25.98;-05 54 35.6; 2.75;-0.210
   26229; 26248;05 35 27.12;+24 02 22.7; 5.37;-0.092
   26250; 26268;05 35 39.49;-04 51 21.9; 5.24; 0.269
   26293; 26311;05 36 12.81;-01 12 06.9; 1.69;-0.184
   26326; 26344;05 36 35.22;+54 25 43.3; 5.74; 1.671
   26327; 26345;05 36 35.69;-06 03 53.1; 5.71;-0.212
   26348; 26366;05 36 54.33;+09 17 29.1; 4.09; 0.951
   26364; 26382;05 37 03.71;+17 02 25.5; 5.53; 0.237
   26368; 26386;05 37 04.35;+11 02 06.2; 5.97; 1.592
   26377; 26394;05 37 08.79;-80 28 18.0; 5.65; 0.600
   26378; 26396;05 37 08.84;+26 55 28.3; 5.83;-0.075
   26433; 26451;05 37 38.68;+21 08 33.3; 2.97;-0.148
   26442; 26460;05 37 44.64;-28 41 23.3; 5.28; 0.486
   26469; 26487;05 38 01.11;+07 32 29.2; 5.87;-0.061
   26517; 26535;05 38 37.97;-06 34 26.2; 5.96;-0.216
   26518; 26536;05 38 38.10;+30 29 32.8; 5.40; 0.450
   26527; 26545;05 38 43.53;-40 42 26.5; 5.81;-0.078
   26531; 26549;05 38 44.77;-02 36 00.2; 3.77;-0.190
   26544; 26563;05 38 53.09;-07 12 45.8; 4.77; 0.139
   26576; 26594;05 39 11.15;+04 07 17.3; 4.50;-0.098
   26588; 26606;05 39 18.31;+29 12 54.8; 5.98; 0.144
   26606; 26624;05 39 31.15;-03 33 53.0; 5.99; 0.294
   26616; 26634;05 39 38.94;-34 04 26.6; 2.65;-0.120
   26622; 26640;05 39 44.19;+25 53 49.7; 5.18;-0.150
   26631; 26649;05 39 49.85;-32 37 44.9; 5.44; 0.913
   26709; 26727;05 40 45.52;-01 56 33.3; 1.74;-0.199
   26718; 26736;05 40 50.72;-01 07 43.6; 4.95;-0.197
   26744; 26762;05 41 05.59;+00 20 15.7; 5.93; 0.311
   26758; 26777;05 41 17.72;+16 32 03.1; 4.84;-0.125
   26847; 26865;05 42 13.96;-22 22 25.5; 5.88; 0.080
   26850; 26868;05 42 15.19;-34 40 04.6; 5.29;-0.032
   26864; 26882;05 42 26.45;+65 41 51.7; 5.62; 1.249
   26867; 26885;05 42 28.66;+01 28 28.8; 4.90; 1.144
   26907; 26926;05 42 53.91;-06 47 46.7; 5.97; 0.447
   26947; 26966;05 43 21.66;-18 33 26.8; 5.73;-0.014
   27053; 27072;05 44 27.97;-22 26 51.0; 3.59; 0.481
   27081; 27100;05 44 46.42;-65 44 07.9; 4.34; 0.217
   27177; 27196;05 45 54.05;+49 49 34.6; 5.46; 0.030
   27185; 27204;05 45 59.89;-32 18 23.0; 5.18;-0.274
   27224; 27243;05 46 27.37;-46 35 50.0; 5.31; 1.040
   27230; 27249;05 46 30.37;+56 06 56.6; 5.93; 0.164
   27234; 27253;05 46 34.96;+01 10 06.7; 5.95; 0.773
   27246; 27265;05 46 45.49;+15 49 21.0; 6.00;-0.061
   27260; 27280;05 46 52.15;+09 31 21.0; 5.78; 0.888
   27268; 27288;05 46 57.35;-14 49 19.0; 3.55; 0.104
   27296; 27316;05 47 13.15;+14 29 18.3; 5.72; 0.077
   27301; 27321;05 47 17.08;-51 04 00.2; 3.85; 0.171
   27318; 27338;05 47 26.20;+17 43 44.9; 5.47; 0.301
   27344; 27364;05 47 42.90;+13 53 58.7; 5.28;-0.156
   27346; 27366;05 47 45.39;-09 40 10.6; 2.07;-0.168
   27366; 27386;05 48 00.23;+06 27 15.2; 5.26; 0.234
   27415; 27435;05 48 34.90;-04 05 38.7; 5.97; 0.639
   27448; 27468;05 49 00.96;+24 34 03.2; 4.88; 1.021
   27463; 27483;05 49 10.46;+39 10 52.1; 4.51; 0.949
   27491; 27511;05 49 32.94;+12 39 04.9; 4.89;-0.068
   27497; 27517;05 49 36.55;-14 29 00.8; 5.49; 0.870
   27510; 27530;05 49 49.58;-56 09 59.4; 4.50; 1.075
   27513; 27533;05 49 53.51;-22 58 18.9; 5.87; 0.055
   27514; 27534;05 49 53.55;-66 54 04.4; 5.10;-0.128
   27530; 27549;05 50 02.68;+09 52 16.4; 5.79; 0.876
   27540; 27560;05 50 13.06;+04 25 24.6; 5.96; 1.361
   27546; 27566;05 50 16.80;-79 21 41.5; 5.46;-0.076
   27563; 27581;05 50 28.90;+14 18 20.5; 5.54; 1.006
   27568; 27588;05 50 30.03;+02 01 29.0; 5.97; 0.953
   27601; 27621;05 50 53.22;-52 06 31.3; 5.16; 0.960
   27608; 27628;05 50 57.55;-35 46 09.5; 3.12; 1.146
   27609; 27629;05 50 58.11;+27 58 04.2; 5.60; 0.978
   27618; 27639;05 51 02.41;+37 18 20.5; 4.72; 1.621
   27634; 27654;05 51 19.15;-20 52 39.0; 3.76; 0.984
   27638; 27658;05 51 21.98;-07 31 04.8; 5.36;-0.195
   27653; 27673;05 51 29.39;+39 08 54.5; 3.97; 1.132
   27693; 27713;05 52 07.73;-09 02 31.1; 5.95; 0.100
   27717; 27737;05 52 20.18;-57 09 21.6; 5.93; 0.656
   27722; 27743;05 52 22.30;+14 10 18.5; 5.60;-0.053
   27727; 27747;05 52 23.41;+19 52 04.3; 5.96; 0.549
   27730; 27750;05 52 26.44;+01 51 18.6; 4.76; 1.382
   27746; 27766;05 52 33.16;-37 37 51.6; 5.62; 1.046
   27790; 27810;05 53 06.88;-33 48 05.2; 4.88;-0.154
   27810; 27830;05 53 19.64;+27 36 44.2; 4.56;-0.008
   27870; 27890;05 54 05.90;-63 05 27.7; 4.65; 1.022
   27893; 27913;05 54 23.08;+20 16 35.1; 4.39; 0.594
   27918; 27938;05 54 43.59;-11 46 27.3; 5.62; 1.523
   27919; 27939;05 54 44.04;+00 58 07.0; 5.99; 1.328
   27927; 27947;05 54 50.11;-52 38 09.9; 5.29; 0.295
   27929; 27949;05 54 50.79;+55 42 24.9; 4.96; 0.052
   27935; 27955;05 54 52.49;-39 57 28.5; 5.55; 1.515
   27945; 27965;05 54 56.69;+19 44 58.6; 5.92;-0.145
   27951; 27971;05 54 57.83;+59 53 18.3; 5.20; 0.010
   27953; 27973;05 54 59.02;+31 42 07.0; 5.90; 0.144
   27969; 27989;05 55 10.29;+07 24 25.3; 0.45; 1.500
   27990; 28010;05 55 29.89;-37 07 14.2; 4.97; 1.102
   27991; 28011;05 55 30.16;-04 36 59.4; 5.87; 1.173
   28064; 28085;05 56 14.20;-22 50 24.2; 5.95; 1.107
   28077; 28098;05 56 20.94;-31 22 56.8; 5.52; 0.382
   28082; 28103;05 56 24.32;-14 10 04.9; 3.71; 0.337
   28090; 28110;05 56 28.04;+09 30 33.9; 5.97;-0.038
   28118; 28139;05 56 49.39;+11 31 16.3; 5.89; 1.111
   28178; 28199;05 57 32.21;-35 16 59.9; 4.36;-0.165
   28216; 28237;05 57 59.66;+25 57 14.1; 4.81;-0.088
   28250; 28271;05 58 24.44;+01 50 13.7; 5.89; 0.223
   28266; 28287;05 58 37.56;-44 02 04.5; 5.81; 1.061
   28275; 28296;05 58 49.58;+00 33 10.7; 5.21; 0.009
   28281; 28302;05 58 53.24;+12 48 29.7; 5.70; 0.874
   28304; 28325;05 59 04.31;-09 33 29.3; 5.04; 0.189
   28307; 28328;05 59 08.79;-42 48 54.4; 3.96; 1.146
   28322; 28343;05 59 21.78;+49 55 28.4; 5.90; 1.194
   28338; 28358;05 59 31.55;+54 17 05.9; 3.72; 1.010
   28339; 28360;05 59 31.77;+44 56 50.8; 1.90; 0.077
   28360; 28380;05 59 43.24;+37 12 46.0; 2.65;-0.083
   28384; 28404;05 59 56.10;+45 56 12.3; 4.30; 1.701
   28393; 28413;06 00 03.35;-03 04 26.7; 4.53; 1.202
   28464; 28484;06 00 49.20;-51 12 59.6; 5.65; 0.207
   28479; 28499;06 00 58.56;+47 54 07.1; 5.71;-0.007
   28504; 28524;06 01 16.29;-33 54 42.4; 5.54; 1.580
   28542; 28562;06 01 43.05;+48 57 34.1; 5.98; 1.437
   28554; 28574;06 01 50.43;-10 35 52.6; 4.92;-0.128
   28594; 28614;06 02 22.99;+09 38 50.5; 4.12; 0.170
   28655; 28675;06 03 15.56;-26 17 05.1; 5.03; 1.335
   28671; 28691;06 03 27.36;+19 41 26.2; 5.14;-0.097
   28696; 28716;06 03 55.18;+20 08 18.5; 4.64; 0.236
   28715; 28734;06 04 07.22;+23 15 49.1; 4.16; 0.835
   28724; 28744;06 04 13.50;-06 42 32.2; 5.19;-0.066
   28736; 28756;06 04 20.28;-32 10 21.8; 5.65;-0.186
   28770; 28790;06 04 40.17;-45 04 46.4; 5.93; 0.493
   28792; 28812;06 04 58.19;+05 25 11.9; 5.67; 1.047
   28793; 28814;06 04 58.36;+04 09 31.2; 5.63; 1.041
   28795; 28816;06 04 59.13;-16 29 03.9; 4.92; 0.196
   28802; 28823;06 05 03.42;+42 58 55.1; 5.90; 0.358
   28833; 28854;06 05 27.02;-10 14 33.6; 5.88; 0.374
   28834; 28855;06 05 27.17;-35 30 49.3; 5.80; 0.027
   28878; 28899;06 06 05.53;-29 45 30.7; 5.79; 0.041
   28888; 28910;06 06 09.33;-14 56 07.0; 4.67; 0.046
   28889; 28909;06 06 09.36;-66 02 22.9; 5.72;-0.024
   28922; 28943;06 06 32.10;-23 06 38.8; 5.46; 0.064
   28925; 28946;06 06 35.09;+38 28 58.0; 5.35; 0.251
   28928; 28949;06 06 38.74;-04 11 37.8; 5.37;-0.122
   28963; 28984;06 06 57.52;-21 48 44.2; 5.74; 1.584
   28970; 28991;06 07 03.36;-62 09 15.9; 5.04; 1.256
   28971; 28992;06 07 03.67;-34 18 43.3; 5.82;-0.137
   29013; 29034;06 07 31.63;-37 15 10.5; 5.00;-0.095
   29017; 29038;06 07 34.32;+14 46 06.7; 4.42;-0.164
   29027; 29048;06 07 41.63;-19 09 57.6; 5.28; 1.661
   29043; 29064;06 07 52.87;-42 09 14.4; 5.50; 0.007
   29113; 29134;06 08 44.34;-68 50 36.4; 5.06;-0.072
   29130; 29150;06 08 57.87;-22 25 38.2; 5.49;-0.010
   29131; 29151;06 08 57.90;+02 29 59.0; 5.70; 0.067
   29175; 29196;06 09 32.44;+22 11 25.0; 5.93; 1.626
   29184; 29205;06 09 34.53;-14 35 04.9; 5.56; 1.150
   29204; 29225;06 09 43.99;+23 06 48.5; 5.75; 0.192
   29213; 29234;06 09 47.91;-22 46 28.2; 5.71; 0.454
   29225; 29246;06 09 58.99;+58 56 08.3; 5.35; 1.096
   29242; 29263;06 10 10.42;-40 21 14.3; 5.54; 1.665
   29250; 29271;06 10 14.20;-74 45 09.1; 5.08; 0.714
   29255; 29276;06 10 17.91;-54 58 07.2; 4.72;-0.229
